0,1,2,3
35.0,44.0,1.0,2.0
52.0,206.0,1.0,2.0
106.0,403.0,1.0,2.0
404.0,451.0,1.0,2.0
203.0,296.0,1.0,2.0
447.0,455.0,2.0,2.0
187.0,268.0,2.0,2.0
195.0,207.0,2.0,2.0
141.0,236.0,4.0,2.0
154.0,270.0,4.0,2.0
316.0,440.0,5.0,2.0
87.0,401.0,6.0,2.0
437.0,443.0,7.0,2.0
135.0,251.0,10.0,2.0
176.0,392.0,10.0,2.0
323.0,369.0,10.0,2.0
218.0,476.0,10.0,2.0
276.0,389.0,10.0,2.0
396.0,501.0,10.969655114602888,3.0
338.0,417.0,11.0,2.0
400.0,434.0,12.041594578792296,2.0
54.0,108.0,13.0,2.0
166.0,241.0,15.0,2.0
381.0,513.0,17.32050807568877,3.0
311.0,518.0,17.962924780409974,4.0
217.0,475.0,19.0,2.0
42.0,398.0,19.209372712298546,2.0
510.0,511.0,20.506096654409877,4.0
181.0,376.0,21.0,2.0
14.0,492.0,24.0,2.0
48.0,265.0,24.0,2.0
250.0,378.0,26.0,2.0
91.0,506.0,26.558112382722783,3.0
194.0,502.0,27.13546265191241,3.0
66.0,115.0,29.0,2.0
17.0,489.0,30.265491900843113,2.0
10.0,473.0,30.463092423455635,2.0
509.0,525.0,38.890872965260115,4.0
3.0,32.0,42.720018726587654,2.0
28.0,433.0,44.0,2.0
448.0,527.0,46.485481604475176,5.0
517.0,523.0,48.02499349297197,5.0
65.0,152.0,48.83646178829912,2.0
430.0,532.0,49.6655480858378,4.0
150.0,198.0,50.28916384272063,2.0
275.0,465.0,52.773099207835045,2.0
388.0,515.0,54.27092530382482,3.0
21.0,33.0,56.0,2.0
253.0,422.0,56.43580423808985,2.0
125.0,391.0,64.4437739428721,2.0
167.0,357.0,67.4166151627327,2.0
308.0,324.0,69.31089380465383,2.0
158.0,468.0,70.09279563550022,2.0
41.0,104.0,71.69379331573968,2.0
2.0,191.0,72.02777242147643,2.0
68.0,419.0,72.11102550927978,2.0
254.0,431.0,72.99315036357864,2.0
67.0,303.0,74.46475676452586,2.0
528.0,540.0,77.92322228596923,7.0
120.0,435.0,84.1486779456457,2.0
45.0,88.0,89.28605714219886,2.0
99.0,367.0,89.9388681271896,2.0
402.0,478.0,93.30058949438637,2.0
273.0,543.0,93.72299611087985,5.0
274.0,301.0,96.33275663033837,2.0
171.0,382.0,101.9803902718557,2.0
127.0,441.0,107.78218776773832,2.0
361.0,384.0,111.8257573191436,2.0
5.0,287.0,112.14722466472365,2.0
80.0,497.0,117.64352935882194,2.0
248.0,416.0,124.80785231707178,2.0
79.0,484.0,125.29964086141668,2.0
107.0,304.0,126.58988901172162,2.0
22.0,539.0,127.01705922171766,3.0
246.0,535.0,132.20690854364105,3.0
351.0,383.0,136.444127759314,2.0
192.0,255.0,140.089257261219,2.0
70.0,397.0,142.61837188805654,2.0
231.0,352.0,143.17821063276352,2.0
342.0,498.0,144.0,2.0
226.0,309.0,144.01388821915754,2.0
116.0,325.0,145.6605643267937,2.0
81.0,230.0,147.73286702694156,2.0
168.0,547.0,147.8016689125442,3.0
153.0,156.0,150.0,2.0
292.0,410.0,151.81897114655993,2.0
101.0,385.0,153.1012736720371,2.0
372.0,432.0,157.49285698088025,2.0
6.0,78.0,159.45218719101973,2.0
177.0,360.0,159.76232346833217,2.0
123.0,503.0,164.19602106425518,3.0
29.0,330.0,168.07438829280326,2.0
34.0,371.0,172.0,2.0
89.0,111.0,174.0919297382851,2.0
26.0,131.0,176.72577627499618,2.0
146.0,477.0,180.0444389588304,2.0
548.0,550.0,181.10770276274835,4.0
160.0,344.0,182.8332573685652,2.0
114.0,374.0,188.08774548066654,2.0
58.0,334.0,192.26024029944412,2.0
4.0,544.0,195.03931227661087,3.0
95.0,215.0,195.34584715319647,2.0
151.0,415.0,200.28230076569423,2.0
136.0,563.0,204.4961287327138,6.0
285.0,483.0,210.06903627141244,2.0
243.0,291.0,216.11339616044165,2.0
239.0,298.0,218.07338214463496,2.0
170.0,538.0,221.97972880423114,3.0
27.0,196.0,228.0350850198276,2.0
180.0,412.0,235.762592452662,2.0
132.0,526.0,236.02895302624773,3.0
332.0,445.0,236.78048906107108,2.0
169.0,390.0,240.05207768315609,2.0
60.0,93.0,245.48930730278255,2.0
232.0,470.0,252.00198411917316,2.0
202.0,500.0,252.76141583187362,3.0
92.0,264.0,255.0,2.0
211.0,345.0,255.62472493872733,2.0
113.0,446.0,256.0488234692751,2.0
467.0,590.0,258.6042665283515,4.0
461.0,464.0,259.04439773907484,2.0
178.0,358.0,264.0075756488817,2.0
240.0,322.0,279.9017684831591,2.0
244.0,436.0,288.4995667241114,2.0
262.0,421.0,289.66359798911566,2.0
36.0,575.0,291.1133799741949,3.0
53.0,76.0,291.5630292063793,2.0
147.0,193.0,294.59803122220626,2.0
50.0,512.0,298.2085400073803,3.0
354.0,573.0,300.48654989311365,4.0
186.0,481.0,300.5661324900063,2.0
38.0,490.0,302.3375596911505,2.0
30.0,289.0,302.64335446198055,2.0
328.0,394.0,308.7588055424493,2.0
346.0,444.0,312.0,2.0
450.0,542.0,315.60787907359554,3.0
335.0,536.0,318.4043550790933,3.0
366.0,567.0,319.50013041207563,3.0
130.0,359.0,324.0385779502188,2.0
307.0,493.0,339.69986753014786,2.0
49.0,545.0,348.0579453673387,3.0
408.0,584.0,350.4587469779194,3.0
295.0,418.0,352.1647341799005,2.0
163.0,572.0,356.0978329991165,3.0
208.0,294.0,360.3553801457667,2.0
429.0,551.0,365.82145007275517,3.0
24.0,314.0,372.0,2.0
205.0,587.0,377.2532306024695,3.0
454.0,556.0,381.19286457120364,3.0
98.0,302.0,384.1054542700481,2.0
148.0,599.0,394.74042103640716,3.0
277.0,472.0,396.02020150492325,2.0
200.0,479.0,397.0604487984166,2.0
188.0,598.0,416.432867739007,3.0
11.0,51.0,416.48049174000937,2.0
555.0,596.0,427.41470884064495,6.0
12.0,119.0,434.0368647937638,2.0
213.0,339.0,436.1467642892699,2.0
110.0,238.0,436.89815746922073,2.0
549.0,552.0,468.0277769534625,4.0
174.0,395.0,475.6563885831872,2.0
90.0,628.0,486.5888065571039,4.0
313.0,566.0,490.6597599151575,3.0
139.0,494.0,494.0536408124122,2.0
520.0,569.0,494.84593562037065,4.0
133.0,327.0,498.78652748445404,2.0
16.0,579.0,498.8426605654332,3.0
84.0,480.0,504.12002539077935,2.0
379.0,613.0,505.8145246365838,3.0
37.0,69.0,509.40357281825186,2.0
581.0,582.0,517.9806946209482,4.0
129.0,620.0,522.2068555658763,3.0
370.0,453.0,528.0151512977634,2.0
