sequence_length,max_value
1,1
2,2
8,16
3,4
6,16
9,16
17,52
4,8
20,52
7,16
15,52
10,16
10,40
18,52
18,160
5,16
13,52
21,52
21,88
8,20
8,64
16,52
16,160
11,24
24,88
11,40
112,9232
19,52
19,88
19,160
107,9232
6,32
27,100
14,52
14,160
22,52
22,112
22,88
35,304
9,40
110,9232
9,64
30,196
17,52
17,136
17,160
105,9232
12,48
25,148
25,88
25,232
12,52
12,160
113,9232
113,9232
20,56
33,196
20,88
33,304
20,160
20,184
108,9232
108,9232
7,64
28,196
28,100
28,304
15,68
15,208
15,160
103,9232
23,72
116,9232
23,112
15,340
23,88
23,232
36,304
36,808
10,80
23,244
111,9232
111,9232
10,84
10,256
31,196
31,592
18,88
31,304
18,136
93,9232
18,160
18,280
106,9232
106,9232
13,96
119,9232
26,148
26,448
26,100
26,304
26,232
88,9232
13,104
39,808
13,160
101,9232
114,9232
114,9232
114,9232
70,9232
21,112
13,340
34,196
34,520
21,116
21,352
34,304
34,808
21,160
96,9232
21,184
47,628
109,9232
109,9232
109,9232
47,4372
8,128
122,9232
29,196
29,592
29,132
29,400
29,304
42,916
16,136
91,9232
16,208
42,628
16,160
16,424
104,9232
104,9232
24,144
117,9232
117,9232
117,9232
24,148
24,448
16,340
16,1024
24,152
37,520
24,232
86,9232
37,304
37,472
37,808
55,9232
11,160
99,9232
24,244
24,736
112,9232
112,9232
112,9232
68,9232
11,168
50,4372
11,256
125,9232
32,196
32,520
32,592
81,9232
19,176
32,532
32,304
32,808
19,180
19,544
94,9232
94,9232
19,184
45,628
19,280
45,952
107,9232
107,9232
107,9232
45,4372
14,192
120,9232
120,9232
120,9232
27,196
27,592
27,448
120,9232
27,200
19,1024
27,304
40,916
27,232
27,616
89,9232
89,9232
14,208
40,628
40,808
40,952
14,212
14,640
102,9232
102,9232
115,9232
27,736
115,9232
53,1672
115,9232
115,9232
71,9232
71,9232
22,224
53,4372
14,340
14,1024
35,228
35,688
35,520
128,9232
22,232
84,9232
22,352
128,9232
35,304
35,712
35,808
53,9232
22,240
22,724
97,9232
97,9232
22,244
22,736
48,628
48,1672
110,9232
48,952
110,9232
66,9232
110,9232
110,9232
48,4372
48,13120
9,256
123,9232
123,9232
123,9232
30,260
30,784
30,592
79,9232
30,264
123,9232
30,400
22,1204
30,304
30,808
43,916
43,2752
17,272
30,820
92,9232
92,9232
17,276
17,832
43,628
43,1888
17,280
43,952
17,424
61,9232
105,9232
105,9232
105,9232
43,4372
25,288
30,868
118,9232
118,9232
118,9232
118,9232
118,9232
56,2248
25,296
74,9232
25,448
118,9232
17,340
17,904
17,1024
43,3076
25,304
38,916
38,520
38,1384
25,308
25,928
87,9232
87,9232
38,312
131,9232
38,472
38,1600
38,808
38,952
56,9232
56,9232
12,320
25,964
100,9232
100,9232
25,324
25,976
25,736
144,9232
113,9232
51,1672
113,9232
25,1492
113,9232
113,9232
69,9232
69,9232
12,336
113,9232
51,4372
51,4372
12,340
12,1024
126,9232
126,9232
33,344
126,9232
33,520
126,9232
33,592
33,1048
82,9232
82,9232
20,352
126,9232
33,532
33,1600
33,356
33,1072
33,808
51,9232
20,360
46,2752
20,544
46,1636
95,9232
95,9232
95,9232
46,4192
20,368
20,1108
46,628
46,1672
20,372
20,1120
46,952
46,2536
108,9232
64,9232
108,9232
59,2752
108,9232
108,9232
46,4372
46,13120
15,384
33,1156
121,9232
121,9232
121,9232
121,9232
121,9232
121,9232
28,392
59,2248
28,592
77,9232
28,448
28,1192
121,9232
121,9232
28,400
20,1204
20,1024
20,1816
28,404
28,1216
41,916
41,2752
28,408
41,1384
28,616
134,9232
90,9232
90,9232
90,9232
134,9232
15,416
134,9232
41,628
41,1888
41,808
41,1264
41,952
33,3220
15,424
59,9232
15,640
54,2752
103,9232
103,9232
103,9232
41,4372
116,9232
28,1300
28,736
28,1960
116,9232
116,9232
54,1672
54,2968
116,9232
28,1492
116,9232
54,2248
72,9232
72,9232
72,9232
98,39364
23,448
116,9232
54,4372
54,4372
15,452
15,1360
15,1024
41,3076
36,456
129,9232
36,688
129,9232
36,520
36,1384
129,9232
129,9232
23,464
36,1396
85,9232
85,9232
23,468
23,1408
129,9232
129,9232
36,472
36,1600
36,712
28,3616
36,808
36,1432
54,9232
54,9232
23,480
49,2752
23,724
23,2176
98,9232
98,9232
98,9232
142,9232
23,488
49,4192
23,736
142,9232
49,628
49,1480
49,1672
98,14308
111,9232
23,1492
49,952
49,2248
111,9232
111,9232
67,9232
